title,public,url
イオン（株）,株式公開企業,https://www.aeon.info/
イオン九州（株）,株式公開企業,http://www.aeon-kyushu.info
イオン北海道（株）,株式公開企業,http://www.aeon-hokkaido.jp/corporation/
（株）サンデー,株式公開企業,http://www.sunday.co.jp/
イオンスーパーセンター（株）,,http://www.aeonsupercenter.co.jp
イオンバイク（株）,,https://www.aeonbike.jp/
イオンベーカリー（株）,,http://www.aeon-bakery.co.jp/
イオンリカー（株）,,http://www.aeonliquor.co.jp/index.html
イオンリテール（株）,,http://www.aeonretail.jp/
イオン琉球（株）,,http://www.aeon-ryukyu.jp/
オリジン東秀（株）,,http://www.toshu.co.jp/
清水商事（株）,,http://www.shimizufood.co.jp/profile.html
トップバリュコレクション（株）,,http://www.topvalucollection.jp
（株）ボンベルタ,,http://www.bonbelta.co.jp/
マックスバリュ東海（株）,株式公開企業,https://www.mv-tokai.co.jp
マックスバリュ西日本（株）,株式公開企業,http://www.maxvalu.co.jp/
ミニストップ（株）,株式公開企業,http://www.ministop.co.jp/
ユナイテッド・スーパーマーケット・ホールディングス（株）,株式公開企業,http://www.usmh.co.jp/
イオンサヴール（株）,,https://www.picard-frozen.jp/
イオン東北（株）,,https://aeontohoku.co.jp/
イオンマーケット（株）,,http://aeonmarket.co.jp/
（株）カスミ,,http://www.kasumi.co.jp/
（株）光洋,,http://www.kohyo.co.jp/
（株）ダイエー,,http://www.daiei.co.jp/index.php
ビオセボン・ジャポン（株）,,https://www.bio-c-bon.jp/
まいばすけっと（株）,,https://www.mybasket.co.jp
マックスバリュ関東（株）,,http://www.mv-kanto.co.jp/
マックスバリュ北陸（株）,,http://www.mv-hokuriku.co.jp/
（株）マルエツ,,http://www.maruetsu.co.jp/
イオンビッグ（株）,,https://www.aeonbig.co.jp/
（株）ビッグ・エー,,http://www.biga.co.jp/
マックスバリュ南東北（株）,,http://www.mv-minamitohoku.co.jp/
ウエルシアホールディングス（株）,株式公開企業,http://www.welcia.co.jp/
（株）イオンボディ,,http://www.aeonbody.com/
イオンレーヴコスメ（株）,,https://www.yvesrocher.jp/
ウエルシア薬局（株）,,http://www.welcia-yakkyoku.co.jp/
金光薬品（株）,,https://www.kanamitsu.com/
（株）クスリのマルエ,,https://marue-drug.co.jp/
コスメーム（株）,,http://www.cosmeme.jp/
シミズ薬品（株）,,http://www.dacs-shimizu.jp/
（株）丸大サクラヰ薬局,,http://happydrug.co.jp/
（株）よどや,,https://www.yodoyadrug.co.jp/index.htm
（株）MASAYA,,https://colorstudio.co.jp/
イオンフィナンシャルサービス（株）,株式公開企業,http://www.aeonfinancial.co.jp
"AEON CREDIT SERVICE (ASIA) CO., LTD.",株式公開企業,https://www.aeon.com.hk/en/html/
AEON CREDIT SERVICE (M) BERHAD,株式公開企業,https://www.aeoncredit.com.my/
AEON THANA SINSAP (THAILAND) PLC.,株式公開企業,http://www.aeon.co.th/aeon/en/
イオン・アリアンツ生命保険（株）,,https://www.aeon-allianz.co.jp/
（株）イオン銀行,,http://www.aeonbank.co.jp/
イオンクレジットサービス（株）,,http://www.aeon.co.jp
イオン住宅ローンサービス（株）,,http://www.aeonhousingloan.jp
イオンプロダクトファイナンス（株）,,http://www.aeonproduct-finance.jp/index_j.htm
イオン保険サービス（株）,,http://www.hokenmarket.net/ais/
イオン・リートマネジメント（株）,,http://www.aeon-reitm.co.jp/
フェリカポケットマーケティング（株）,,http://www.felicapocketmk.co.jp/
AFSコーポレーション（株）,,https://www.afscorporation.co.jp/
"AEON Financial Service (Hong Kong) Co., Ltd.",,
イオンモール（株）,株式公開企業,http://www.aeonmall.com/
イオンタウン（株）,,http://www.aeontown.co.jp/
（株）OPA,,http://www.opa.gr.jp/
イオンディライト（株）,株式公開企業,http://www.aeondelight.co.jp/
（株）イオンファンタジー,株式公開企業,http://www.fantasy.co.jp/
（株）コックス,株式公開企業,http://www.cox-online.co.jp/
（株）ジーフット,株式公開企業,http://www.g-foot.co.jp/
アクティア（株）,,http://www.kajitaku.com/
（株）イオンイーハート,,http://www.aeoneaheart.co.jp
イオンエンターテイメント（株）,,http://www.aeoncinema.com/
イオンカルチャー（株）,,https://www.aeonculture.jp/
イオンコンパス（株）,,http://www.aeoncompass.co.jp/
イオンペット（株）,,http://www.aeonpet.com/
イオンライフ（株）,,http://www.aeonlife.jp/
ブランシェス（株）,,http://www.branshes.jp/
（株）プレステージシューズ,,http://prestige-shoes.jp/
（株）未来屋書店,,http://www.miraiyashoten.co.jp/
（株）メガスポーツ,,http://www.megasports.jp/
メガペトロ（株）,,https://megapetro.co.jp/
リフォームスタジオ（株）,,http://www.reform-s.com/
R．O．U（株）,,http://www.rou-web.jp/
"AEON Stores (Hong Kong) Co., Limited",株式公開企業,http://www.aeonstores.com.hk/
"AEON（CHINA）CO., LTD.",,http://www.aeonchina.com.cn/
"AEON EAST CHINA (SUZHOU) CO., LTD.",,http://www.szaeon.com/
"AEON (HUBEI) CO., LTD.",,http://www.aeonhb.com/
"AEON South China Co., Limited",,http://www.aeonsc.com.cn/
"BEIJING AEON CO., LTD.",,http://www.aeonbj.com
"GUANGDONG AEON TEEM CO., LTD.",,http://www.aeon.com.cn
"QINGDAO AEON DONGTAI CO., LTD.",,http://www.qdaeon.com
AEON CO. (M) BHD.,株式公開企業,http://aeonretail.com.my/
AEON BIG (M) SDN.BHD.,,http://aeonbig.com.my
"AEON（CAMBODIA）Co.,Ltd.",,http://aeoncambodia.com
AEON ORANGE COMPANY LIMITED,,
"AEON（Thailand）CO., LTD.",,http://www.aeonthailand.co.th/?lang=en
"AEON VIETNAM Co., LTD.",,http://www.aeon.com.vn/
DONG HUNG INVESTMENT DEVELOPMENT CONSULTANCY JOINT STOCK COMPANY LIMITED,,https://www.aeon.info/company/group/info/#ac-02
PT.AEON INDONESIA,,http://aeonmall-bsdcity.com
アビリティーズジャスコ（株）,,http://www.ajscrum.co.jp/
イオンアイビス（株）,,https://www.aeonibs.co.jp/
イオンアグリ創造（株）,,http://www.aeon.jp/agricreate/
イオングローバルSCM（株）,,https://aeonglobalscm.co.jp/
イオン・シグナ・スポーツ・ユナイテッド（株）,,
イオンスマートテクノロジー（株）,,https://www.aeon-st.co.jp/
イオンドットコム（株）,,https://www.aeoncom.co.jp/
イオントップバリュ（株）,,http://www.topvalu.net/
イオンネクスト準備（株）,,
イオンフードサプライ(株),,http://www.aeon-fs.com/
イオンマーケティング（株）,,http://www.aeonmarketing.co.jp/
コルドンヴェール（株）,,http://www.cordonvert.jp/japanese/
（株）生活品質科学研究所,,http://www.riql.jp/
Aeon Digital Management Center,,
"AEON TOPVALU (CHINA) CO.,LTD.",,https://www.aeon.info/company/group/info/#ac-03
"AEON TOPVALU (HONG KONG) CO., LIMITED",,https://www.aeon.info/company/group/info/#ac-04
AEON TOPVALU MALAYSIA SDN. BHD.,,http://www.topvalu.com.my/
"AEON TOPVALU (THAILAND) CO.,LTD.",,https://www.aeon.info/company/group/info/#ac-05
AEON TOPVALU VIETNAM COMPANY LIMITED,,https://www.aeon.info/company/group/info/#ac-06
Tasmania Feedlot Pty. Ltd.,,
（公財）イオンワンパーセントクラブ,,http://aeon1p.or.jp/1p/
（公財）イオン環境財団,,http://www.aeon.info/ef/
（公財）岡田文化財団,,http://www.okadabunka.or.jp/
